date,strategy_nav,spy_nav,equal_weight_sector_nav,drawdown_pct,drawdown_mode_active,drawdown_breach_active,w_XLB,w_XLE,w_XLF,w_XLI,w_XLK,w_XLP,w_XLU,w_XLV,w_XLY,w_SPY,w_CASH
2025-10-01,0.99955,1.0,1.0,0.0,False,False,0.0,0.07058823529411766,0.10588235294117647,0.0,0.0,0.0,0.12352941176470589,0.0,0.0,0.7,0.0
2025-10-02,0.9993414953369941,1.0011518565068935,0.9993174509139223,0.0006585046630058766,False,False,0.0,0.07058823529411766,0.10588235294117647,0.0,0.0,0.0,0.12352941176470589,0.0,0.0,0.7,0.0
2025-10-03,1.0018725029373579,1.0011369732242439,1.0024222748850775,0.0,False,False,0.0,0.07058823529411766,0.10588235294117647,0.0,0.0,0.0,0.12352941176470589,0.0,0.0,0.7,0.0
2025-10-06,1.0058951628014121,1.0047273140651127,1.005159424328363,0.0,False,False,0.0,0.07058823529411766,0.10588235294117647,0.0,0.0,0.0,0.12352941176470589,0.0,0.0,0.7,0.0
2025-10-07,1.0041022243260798,1.001002293212538,1.0033311833646597,0.0017824307558443886,False,False,0.0,0.07058823529411766,0.10588235294117647,0.0,0.0,0.0,0.12352941176470589,0.0,0.0,0.7,0.0
2025-10-08,1.008220309605437,1.0069713113313368,1.006424124122562,0.0,False,False,0.0,0.07058823529411766,0.10588235294117647,0.0,0.0,0.0,0.12352941176470589,0.0,0.0,0.7,0.0
2025-10-09,1.004513299338358,1.0040540966235492,1.000405048163795,0.003676785948231509,False,False,0.0,0.07058823529411766,0.10588235294117647,0.0,0.0,0.0,0.12352941176470589,0.0,0.0,0.7,0.0
2025-10-10,0.9806354071773734,0.9769167590784599,0.9804766886326673,0.027359994800004395,False,False,0.0,0.07058823529411766,0.10588235294117647,0.0,0.0,0.0,0.12352941176470589,0.0,0.0,0.7,0.0
2025-10-13,0.9940324472016352,0.9919065987270683,0.9913035503785506,0.014072184688834644,False,False,0.0,0.07058823529411766,0.10588235294117647,0.0,0.0,0.0,0.12352941176470589,0.0,0.0,0.7,0.0
2025-10-14,0.9954278258059632,0.9906948438556467,0.9967670928293456,0.01268818300682717,False,False,0.0,0.07058823529411766,0.10588235294117647,0.0,0.0,0.0,0.12352941176470589,0.0,0.0,0.7,0.0
