model_role,model_name,start_date,end_date,strategy_cagr,spy_cagr,strategy_excess_cagr_vs_spy,strategy_ann_vol,strategy_sharpe,strategy_sortino,strategy_max_drawdown,cumulative_one_way_turnover,trade_count,cost_drag_total_nav_pct
champion,robust_ensemble_champion,2025-09-24,2026-09-24,0.11047181584793697,0.16184225754203552,-0.051370441694098545,0.08376478563747498,0.9455018273990591,1.1276887487525618,0.06066704017944502,2.4999999999999996,9,0.0037500000000000003
challenger,logistic_price_relative_challenger,2025-09-24,2026-09-24,0.12028727432792818,0.16184225754203552,-0.04155498321410733,0.09907260160446628,0.9027316531340822,1.2952005462989273,0.08039282607720966,3.9723963808361384,22,0.005958594571254208
