date,strategy_nav,spy_nav,equal_weight_sector_nav,drawdown_pct,drawdown_mode_active,drawdown_breach_active,w_XLB,w_XLE,w_XLF,w_XLI,w_XLK,w_XLP,w_XLU,w_XLV,w_XLY,w_SPY,w_CASH
2025-09-24,0.99955,1.0,1.0,0.0,False,False,0.0,0.07058823529411754,0.0,0.10588235294117652,0.0,0.0,0.0,0.12352941176470594,0.0,0.7,0.0
2025-09-25,0.9941926592020197,0.9953864953780016,0.9927712845001225,0.005807340797980287,False,False,0.0,0.07058823529411754,0.0,0.10588235294117652,0.0,0.0,0.0,0.12352941176470594,0.0,0.7,0.0
2025-09-26,1.0010275744317132,1.0010891419828645,1.0020198359130048,0.0,False,False,0.0,0.07058823529411754,0.0,0.10588235294117652,0.0,0.0,0.0,0.12352941176470594,0.0,0.7,0.0
2025-09-29,1.0023902604203634,1.0039026125928336,1.0032477222987737,0.0,False,False,0.0,0.07058823529411754,0.0,0.10588235294117652,0.0,0.0,0.0,0.12352941176470594,0.0,0.7,0.0
2025-09-30,1.0080788756922525,1.007684188893429,1.00627179361159,0.0,False,False,0.0,0.07058823529411754,0.0,0.10588235294117652,0.0,0.0,0.0,0.12352941176470594,0.0,0.7,0.0
2025-10-01,1.0140334064879226,1.0111178897179343,1.0099461006947854,0.0,False,False,0.0,0.07058823529411754,0.0,0.10588235294117652,0.0,0.0,0.0,0.12352941176470594,0.0,0.7,0.0
2025-10-02,1.0141647212388902,1.0122825524384422,1.0092567629067686,0.0,False,False,0.0,0.07058823529411754,0.0,0.10588235294117652,0.0,0.0,0.0,0.12352941176470594,0.0,0.7,0.0
2025-10-03,1.0161069735175068,1.0122675036850974,1.0123924677697804,0.0,False,False,0.0,0.07058823529411754,0.0,0.10588235294117652,0.0,0.0,0.0,0.12352941176470594,0.0,0.7,0.0
2025-10-06,1.0189076989266583,1.0158977615394849,1.0151568411770455,0.0,False,False,0.0,0.07058823529411754,0.0,0.10588235294117652,0.0,0.0,0.0,0.12352941176470594,0.0,0.7,0.0
2025-10-07,1.0158601488631196,1.0121313263158742,1.0133104163446227,0.0029909971891949327,False,False,0.0,0.07058823529411754,0.0,0.10588235294117652,0.0,0.0,0.0,0.12352941176470594,0.0,0.7,0.0
2025-10-08,1.0208618322610927,1.0181667073198422,1.0164341198027462,0.0,False,False,0.0,0.07058823529411754,0.0,0.10588235294117652,0.0,0.0,0.0,0.12352941176470594,0.0,0.7,0.0
2025-10-09,1.0159344847182858,1.0152170593406498,1.0103551775084036,0.004826654682439591,False,False,0.0,0.07058823529411754,0.0,0.10588235294117652,0.0,0.0,0.0,0.12352941176470594,0.0,0.7,0.0
2025-10-10,0.990448765493226,0.9877780118694959,0.9902286085066976,0.02979156023543872,False,False,0.0,0.07058823529411754,0.0,0.10588235294117652,0.0,0.0,0.0,0.12352941176470594,0.0,0.7,0.0
2025-10-13,1.0029922929899158,1.002934506902207,1.001163155309714,0.01750436612131734,False,False,0.0,0.07058823529411754,0.0,0.10588235294117652,0.0,0.0,0.0,0.12352941176470594,0.0,0.7,0.0
2025-10-14,1.0037148797349789,1.0017092798737597,1.006681038703875,0.016796545804964924,False,False,0.0,0.07058823529411754,0.0,0.10588235294117652,0.0,0.0,0.0,0.12352941176470594,0.0,0.7,0.0
2025-10-15,1.006540872082658,1.0061564172962054,1.0087524920675548,0.014028304052386198,False,False,0.0,0.07058823529411754,0.0,0.10588235294117652,0.0,0.0,0.0,0.12352941176470594,0.0,0.7,0.0
2025-10-16,0.9999787897428698,0.9993042490478193,0.9995312889476032,0.020456286892389097,False,False,0.0,0.07058823529411754,0.0,0.10588235294117652,0.0,0.0,0.0,0.12352941176470594,0.0,0.7,0.0
2025-10-17,1.0054468606799372,1.0049766134987126,1.0042124043447411,0.015099958774061673,False,False,0.0,0.07058823529411754,0.0,0.10588235294117652,0.0,0.0,0.0,0.12352941176470594,0.0,0.7,0.0
2025-10-20,1.0160916384161496,1.0154288497711565,1.0125267533933533,0.004672712500552345,False,False,0.0,0.07058823529411754,0.0,0.10588235294117652,0.0,0.0,0.0,0.12352941176470594,0.0,0.7,0.0
2025-10-21,1.0171637793449768,1.0154137086941717,1.0127397139351708,0.0036224813184808635,False,False,0.0,0.07058823529411754,0.0,0.10588235294117652,0.0,0.0,0.0,0.12352941176470594,0.0,0.7,0.0
2025-10-22,1.013702289552401,1.0101346429503228,1.0107663579303832,0.0070132338015166384,False,False,0.0,0.07058823529411754,0.0,0.10588235294117652,0.0,0.0,0.0,0.12352941176470594,0.0,0.7,0.0
2025-10-23,1.0198142138508208,1.0161246930469763,1.016597534243478,0.0005764692048334519,False,False,0.0,0.1525758129338691,0.0,0.20505200781027372,0.11884276749115123,0.0,0.0,0.045268542199488546,0.0,0.4782608695652174,0.0
2025-10-24,1.0242811214474756,1.0244290198313013,1.0186732022651084,0.0,False,False,0.0,0.1525758129338691,0.0,0.20505200781027372,0.11884276749115123,0.0,0.0,0.045268542199488546,0.0,0.4782608695652174,0.0
2025-10-27,1.0339815388140432,1.0365149229162218,1.0244816454053904,0.0,False,False,0.0,0.1525758129338691,0.0,0.20505200781027372,0.11884276749115123,0.0,0.0,0.045268542199488546,0.0,0.4782608695652174,0.0
2025-10-28,1.0330625318724944,1.039267921541892,1.0193410538362793,0.0008888040134670261,False,False,0.0,0.1525758129338691,0.0,0.20505200781027372,0.11884276749115123,0.0,0.0,0.045268542199488546,0.0,0.4782608695652174,0.0
2025-10-29,1.035430085818241,1.0397671154641899,1.0123535551299692,0.0,False,False,0.0,0.1525758129338691,0.0,0.20505200781027372,0.11884276749115123,0.0,0.0,0.045268542199488546,0.0,0.4782608695652174,0.0
2025-10-30,1.0271073331672411,1.028331632424135,1.005936533058881,0.008037966797558194,False,False,0.0,0.1525758129338691,0.0,0.20505200781027372,0.11884276749115123,0.0,0.0,0.045268542199488546,0.0,0.4782608695652174,0.0
2025-10-31,1.0304704859685943,1.0317047689407013,1.0086029307354325,0.004789893511474963,False,False,0.0,0.1525758129338691,0.0,0.20505200781027372,0.11884276749115123,0.0,0.0,0.045268542199488546,0.0,0.4782608695652174,0.0
2025-11-03,1.0310794968078763,1.0336409803219533,1.007820717919358,0.004201721651661994,False,False,0.0,0.1525758129338691,0.0,0.20505200781027372,0.11884276749115123,0.0,0.0,0.045268542199488546,0.0,0.4782608695652174,0.0
2025-11-04,1.0180627293134301,1.02138861771384,1.00108865542091,0.016773084675327454,False,False,0.0,0.1525758129338691,0.0,0.20505200781027372,0.11884276749115123,0.0,0.0,0.045268542199488546,0.0,0.4782608695652174,0.0
2025-11-05,1.0216180867976772,1.0249282137535989,1.0050212761238906,0.013339383517766978,False,False,0.0,0.1525758129338691,0.0,0.20505200781027372,0.11884276749115123,0.0,0.0,0.045268542199488546,0.0,0.4782608695652174,0.0
2025-11-06,1.014706247728479,1.0139313603279025,0.9991089252286445,0.020014715019010865,False,False,0.0,0.1525758129338691,0.0,0.20505200781027372,0.11884276749115123,0.0,0.0,0.045268542199488546,0.0,0.4782608695652174,0.0
