date,ticker,sector,open,high,low,close,volume,adjusted_open,adjusted_high,adjusted_low,adjusted_close,source
2025-11-06,SPY,S&P 500 benchmark,676.469970703125,677.3800048828125,668.719970703125,670.3099975585938,85035300.0,670.9115428502156,671.8140994484131,663.2252231578799,664.8021850585938,Yahoo Finance via yfinance
2025-11-07,SPY,S&P 500 benchmark,667.9099731445312,671.0800170898438,661.2100219726562,670.969970703125,100592400.0,662.4218719882706,665.5658682287408,655.7769731606511,665.4567260742188,Yahoo Finance via yfinance
2025-11-10,SPY,S&P 500 benchmark,677.239990234375,682.1799926757812,675.030029296875,681.4400024414062,75842900.0,671.6752576501947,676.57466917413,669.4834554774103,675.8407592773438,Yahoo Finance via yfinance
2025-11-11,SPY,S&P 500 benchmark,679.9500122070312,683.5700073242188,678.72998046875,683.0,58953400.0,674.3629519753922,677.9532020666294,673.1529450781785,677.3878784179688,Yahoo Finance via yfinance
2025-11-12,SPY,S&P 500 benchmark,684.7899780273438,684.9600219726562,680.9500122070312,683.3800048828125,62312500.0,679.1631581075335,679.3318048264125,675.3547447293747,677.7647705078125,Yahoo Finance via yfinance
2025-11-13,SPY,S&P 500 benchmark,680.5,680.8599853515625,670.52001953125,672.0399780273438,103457800.0,674.9085136071693,675.265541055433,665.0105359672095,666.5180053710938,Yahoo Finance via yfinance
2025-11-14,SPY,S&P 500 benchmark,665.3800048828125,675.6599731445312,663.27001953125,671.9299926757812,96846700.0,659.9127066954921,670.1082064558575,657.8200586834998,666.4088745117188,Yahoo Finance via yfinance
2025-11-17,SPY,S&P 500 benchmark,669.7000122070312,673.7100219726562,662.1699829101562,665.6699829101562,90456100.0,664.1971714004484,668.1742314199619,656.7290154076413,660.2002563476562,Yahoo Finance via yfinance
2025-11-18,SPY,S&P 500 benchmark,662.0999755859375,665.1199951171875,655.8599853515625,660.0800170898438,114467500.0,656.6595496130724,659.6547538697382,650.4708329116884,654.6561889648438,Yahoo Finance via yfinance
2025-11-19,SPY,S&P 500 benchmark,660.780029296875,667.3400268554688,658.75,662.6300048828125,94703000.0,655.3505280387882,661.856623370592,653.3371790986623,657.185302734375,Yahoo Finance via yfinance
2025-11-20,SPY,S&P 500 benchmark,672.9099731445312,675.5599975585938,651.8900146484375,652.530029296875,165293500.0,667.3808213360044,670.0090710879778,646.5335791707308,647.1683349609375,Yahoo Finance via yfinance
2025-11-21,SPY,S&P 500 benchmark,655.0499877929688,664.5499877929688,650.8499755859375,659.030029296875,123956200.0,649.6675301260088,659.0894699034471,645.5020288545189,653.6148681640625,Yahoo Finance via yfinance
2025-11-24,SPY,S&P 500 benchmark,662.6900024414062,670.0599975585938,661.5900268554688,668.72998046875,80437900.0,657.2448196444445,664.5542570793402,656.1538823239337,663.2351684570312,Yahoo Finance via yfinance
2025-11-25,SPY,S&P 500 benchmark,668.6300048828125,676.2100219726562,664.47998046875,675.02001953125,81077100.0,663.135941149376,670.6536740212097,659.020017057554,669.4734497070312,Yahoo Finance via yfinance
2025-11-26,SPY,S&P 500 benchmark,677.6300048828125,681.7000122070312,676.719970703125,679.6799926757812,71879600.0,672.0620713400136,676.0986363282427,671.1595147067713,674.09521484375,Yahoo Finance via yfinance
2025-11-28,SPY,S&P 500 benchmark,680.8599853515625,683.6699829101562,680.5,683.3900146484375,49212000.0,675.2654787466182,678.0523870500939,674.9084513312986,677.7747192382812,Yahoo Finance via yfinance
